
 
 GLOSSAIRE DES STATISTIQUES 
 
POS:Position 
 GP:Games Played 
 AB:At Bats 
 R:Runs 
 H:Hits 
 AVG:Batting Average 
 2B:Doubles
3B :Triples 
  HR:Home Runs 
 RBI:Runs Batted In 
 TB:Total Bases 
 BB:Walks 
 K:Strikeouts 
 SB:Stolen Bases 
OBP:On Base Percentage 
 SLG:Slugging Percentage 
 OPS:OPB Pct + SLG Pct 
 WAR:Wins Above Replacement 
 
STATISTIQUES DES SERIES ELIMINATOIRES 2021 DE TOUS LES JOUEURS DE BATON (BASEBALL) DE TOUTES LES DIVISIONS 
 
ARIZONA DIAMONDBACKS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Corey Dickerson;53;122;17;23;4;3;0;8;33;4;38;3;.189;.244;.270;.515;0.6
Edmundo Sos;46;101;16;21;5;0;4;15;38;13;31;1;.208;.296;.376;.672;0.4
Lars Nootbaar;24;77;6;10;3;0;1;7;16;7;25;3;.130;.209;.208;.417;0.1
Paul DeJong;9;22;2;3;0;0;0;0;3;2;7;0;.136;.208;.136;.345;-0.2
Austin Romine;11;18;0;2;0;0;0;1;2;2;8;0;.111;.190;.111;.302;-0.3
Ivan Herrer;9;17;1;3;0;0;1;2;6;1;2;0;.176;.211;.353;.563;-0.1
Conner Capel;2;1;0;0;0;0;0;1;0;0;0;0;.000;.000;.000;.000;-0.1
TOTAL;99;3372;454;849;170;15;107;434;1370;314;777;64;.252;.321;.406;.728;

 
TAMPA BAY RAYS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Randy Arozaren;89;306;43;90;21;0;4;31;123;53;39;1;.294;.405;.402;.807;2.4
Yandy Diaz;87;261;29;44;12;2;4;16;72;28;78;6;.169;.253;.276;.529;0.9
Taylor Walls;72;241;27;64;16;0;8;43;104;40;78;0;.266;.367;.432;.799;1.5
Ji-Man Choi;78;240;31;79;16;0;4;35;107;16;36;3;.329;.379;.446;.825;1.4
Harold Ramirez;58;227;34;59;12;2;5;23;90;17;26;5;.260;.308;.396;.704;1.6
Wander Franco;63;206;28;47;8;0;7;22;76;14;61;6;.228;.281;.369;.649;0.9
Kevin Kiermaier;56;183;29;40;7;0;14;29;89;19;36;0;.219;.294;.486;.780;1.5
Isaac Paredes;51;182;21;55;11;1;3;27;77;17;35;5;.302;.365;.423;.788;1.3
Manuel Margot;59;182;24;47;12;0;6;23;77;2;48;0;.258;.265;.423;.688;0.6
Francisco Meji;74;180;21;26;4;0;5;13;45;16;83;7;.144;.225;.250;.475;0.0
Brett Phillips;50;175;23;36;12;2;2;13;58;13;65;2;.206;.265;.331;.596;0.0
Josh Lowe;41;154;25;37;7;2;6;14;66;15;41;1;.240;.314;.429;.743;0.5
Brandon Lowe;46;138;11;23;5;0;2;15;34;12;36;4;.167;.230;.246;.477;-0.6
Vidal Brujan;36;115;7;17;3;0;5;16;35;6;46;0;.148;.195;.304;.499;-0.6
Mike Zunino;19;58;3;11;0;0;2;8;17;1;28;0;.190;.217;.293;.510;-0.4
Rene Pinto;14;39;5;8;2;0;1;4;13;4;12;0;.205;.319;.333;.652;0.2
Luke Raley;10;26;2;7;2;0;0;3;9;0;12;0;.269;.269;.346;.615;0.1
Yu Chang;7;21;2;4;0;0;1;2;7;1;6;0;.190;.227;.333;.561;0.0
Christian Bethancourt;7;16;1;6;1;0;0;2;7;0;3;0;.375;.375;.438;.813;0.1
Jonathan Arand;6;12;1;4;1;1;0;3;7;1;6;0;.333;.385;.583;.968;0.3
TOTAL;99;3327;410;798;174;12;91;389;1269;299;874;60;.240;.307;.381;.689;

 
TEXAS RANGERS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Marcus Semien;94;373;56;93;19;4;18;61;174;24;113;15;.249;.295;.466;.762;2.8
Adolis Garci;95;369;52;92;12;1;23;54;175;39;65;3;.249;.325;.474;.799;3.1
Corey Seager;93;351;45;97;16;2;15;43;162;25;91;1;.276;.324;.462;.786;0.8
Nathaniel Lowe;92;306;34;66;14;1;11;43;115;21;97;2;.216;.275;.376;.651;-0.5
Kole Calhoun;77;256;39;68;15;0;12;36;119;22;56;2;.266;.321;.465;.786;2.4
Jonah Heim;54;188;23;39;7;0;10;24;76;23;53;1;.207;.298;.404;.702;0.4
Mitch Garver;65;184;18;38;2;0;7;29;61;13;56;4;.207;.258;.332;.589;-1.4
Brad Miller;40;119;13;26;4;0;1;9;33;9;21;3;.218;.273;.277;.551;-0.1
Andy Ibanez;38;115;19;38;11;0;3;18;58;8;32;6;.330;.371;.504;.875;1.4
Leody Taveras;34;108;12;23;3;0;1;11;29;13;22;2;.213;.315;.269;.583;0.0
Josh Smith;47;105;16;21;2;0;3;10;32;11;41;12;.200;.274;.305;.578;0.8
Eli White;54;90;15;23;4;0;0;8;27;4;23;2;.256;.287;.300;.587;-0.5
Charlie Culberson;24;88;13;22;4;1;2;10;34;5;24;3;.250;.290;.386;.677;0.1
Ezequiel Duran;30;77;5;20;2;0;1;5;25;5;27;1;.260;.305;.325;.630;-0.2
Sam Huff;29;72;11;14;1;0;2;3;21;5;18;3;.194;.275;.292;.567;-0.4
Nick Solak;18;44;7;6;3;0;1;2;12;8;6;0;.136;.283;.273;.556;-0.2
Willie Calhoun;16;34;3;9;1;0;0;3;10;0;10;0;.265;.265;.294;.559;-0.5
Zach Reks;8;20;3;3;0;0;0;0;3;5;8;0;.150;.320;.150;.470;0.3
Meibrys Vilori;7;19;2;6;2;0;0;2;8;0;9;0;.316;.316;.421;.737;0.1
Elier Hernandez;8;17;2;3;0;0;0;0;3;2;12;1;.176;.263;.176;.440;-0.1
Steven Duggar;5;14;1;1;0;0;1;1;4;2;4;0;.071;.188;.286;.473;-0.2
TOTAL;98;3342;441;801;140;11;124;418;1335;277;855;78;.240;.300;.399;.700;

 
TORONTO BLUE JAYS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Bo Bichette;98;377;56;106;19;0;21;62;188;39;73;1;.281;.352;.499;.851;2.9
Vladimir Guerrero Jr.;96;341;39;92;21;0;6;40;131;26;58;5;.270;.321;.384;.705;1.7
Santiago Espinal;87;331;57;84;14;2;18;47;156;34;72;10;.254;.331;.471;.802;2.6
George Springer;93;326;54;80;18;0;18;54;152;33;95;1;.245;.322;.466;.788;2.2
Matt Chapman;89;326;42;102;24;0;5;41;141;22;59;3;.313;.363;.433;.796;2.0
Lourdes Gurriel Jr.;88;288;48;91;14;0;12;40;141;35;32;0;.316;.394;.490;.884;3.6
Alejandro Kirk;75;286;38;78;19;1;13;46;138;20;86;5;.273;.325;.483;.807;2.1
Teoscar Hernandez;79;255;30;73;16;1;5;35;106;9;48;5;.286;.309;.416;.725;0.1
Raimel Tapi;54;146;24;33;13;1;2;14;54;25;48;2;.226;.351;.370;.720;1.1
Cavan Biggio;28;84;14;20;1;0;9;21;48;6;15;0;.238;.298;.571;.869;1.4
